Codierer,Veroeffentlichung,Beitragtitel,Laenge,Konfliktlaenge,Sprechername,Sprecherrolle,Beschuldigter,Kommentar
MAR,20240220,Markus Lanz vom 20. Februar,42,76,Florence Gaub,WIS,DEU,"Durch den negativen Ton, mit dem Deutschland über den Ukraine-Konflikt spricht, spiele Deutschland Russland in die Karten und bestätigt quasi, dass die Lage für die Ukraine sowieso aussichtslos ist, weil es ""nichts mehr zu Gewinnen"" gibt."
MAR,20240220,Markus Lanz vom 20. Februar,42,76,Florence Gaub,WIS,PUT,"""Putin hat gesagt: 'Wir können sofort verhandeln, du musst einfach nur alle unsere Bedingungen akzeptieren...' Es gibt deutsche Politiker, die nach Verhandlungen rufen und Verhandlung heißt: ich und du setzen uns hin und jeder macht Konzessionen. An dem Punkt sind wir nicht, weil Putin sagt: 'Ich verhandle mit dir, wenn du alles machst, was ich machen will.' Das ist keine Verhandlung."""
MAR,20240220,Markus Lanz vom 20. Februar,42,76,Mike Mohring,POL,OLA,"""Bei Olaf scholz vermisst man die Entschlossenheit."" Merkel hätte sofort Waffen und 
Ressourcen geliefert, während Scholz das nicht tut."""
MAR,20240220,Markus Lanz vom 20. Februar,42,76,Martin Machowecz,JOU,PUT,"""Putin ist zu keinerlei Kompromiss mehr bereit."""
MAR,20240220,Markus Lanz vom 20. Februar,42,76,Florence Gaub,WIS,RUS,"Russland würde den deutschen Luftraum regelmäßig verletzen, um zu schauen, wie schnell Deutschland reagiert und Deutschland zu verunsichern."
MAR,20240228,Markus Lanz vom 28. Februar,75,75,Irina Scherbakowa,WIS,OLA,"Scholz zeige eine Zögerlichkeit und Unschlüssigkeit, was sich
negativ auf die Ukraine auswirkt."
MAR,20240228,Markus Lanz vom 28. Februar,75,75,Irina Scherbakowa,WIS,RUS,Russland hat Nawalny gefoltert während seiner Gefangenschaft.
MAR,20240228,Markus Lanz vom 28. Februar,75,75,Marcus Bensmann,JOU,RUS,"Russland setze absichtlich Verbrecher ein. Das Land setze absichtlich Offiziere ein,
die in Tschetschenien bereits Menschenrechtsvebrechen begangen haben."
MAR,20240312,Markus Lanz vom 12. März,75,17,Anna Lehmann,JOU,CHU,"Die Kirche sollte sich auf die Seite der Schwachen stelle und das tut sie nicht, weil
der Papst meinte, die Ukraine solle die weiße Flagge hissen."
MAR,20240312,Markus Lanz vom 12. März,75,17,Martin Huber,POL,OLA,"""Das Hauptproblem ist, dass wir einen Kanzler haben, der Putins Narrativ bedient."""
MAR,20240312,Markus Lanz vom 12. März,75,17,Martin Huber,POL,DEU,"""Die Bundesregierung ist immer hinten dran, die Ukraine zu unterstützen."""
MAR,20240313,Markus Lanz vom 13. März,44,44,Nikolaos Gazeas,JUR,PUT,"Putin hat bisher dafür gesorgt, dass Auftragsmördern nichts passiert (keine
rechtlichen Konsequenzen)."
JAC,20241017,Markus Lanz vom 17. Oktober 2024,77,5,Sabine Adler,JOU,RUS,"Es ist für Journalisten unmöglich aus von Russland besetzten Gebieten zu berichten, da diese sofort gefangen genommen werden."
JAC,20241017,Markus Lanz vom 17. Oktober 2024,77,5,Sabine Adler,JOU,RUS,"""Wenn sich diese ""Schurkenregime"" auch noch militärisch verbünden...daran will man nicht denken."""
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Roderich Kiesewetter,POL,RUS,"Wir dürfen das Opfer Ukraine nicht dazu bringen, weiter zur russischen Eskalation beizutragen."
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Roderich Kiesewetter,POL,RUS,"Wir müssen die Ukraine in eine Lage bringen, in der sie russische Munitionslager auf dem Gebiet Russlands angreifen zu können"
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Roderich Kiesewetter,POL,DEU,Putin kann unsere Unentschlossenheit zu weiteren Eskalationen nutzen
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Roderich Kiesewetter,POL,DEU,Deutschland spielt nicht mehr so eine Rolle als Unterstützer.
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Corinna Milborn,JOU,RUS,Österreich steht ganz klar auf der Seite der Ukraine.
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Corinna Milborn,JOU,OES,"Es ist ein großer Kritikpunkt der Bevölkerung in Österreich, dass es keine Waffenlieferungen gibt."
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Gerald Knaus,WIS,RUS,Putin mischt in beiden zwei Migrationskrisen mit (Syrien und Ukraine).
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Markus Lanz,MOD,RUS,Direkt neben einem neu aufgebauten Krankenhaus schlagen neue Bomben ein. Das ist eine unvorstellbare Brutalität.
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Gerald Knaus,WIS,RUS,Die größte Fluchtursache in Europa ist Putin
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Gerald Knaus,WIS,REC,"Den polischen Mächten, die gegen Flüchtlinge und für Russland ist, ist nicht klar, dass Putin an den Mengen an Flüchtlingen in Europa Schuld ist."
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Roderich Kiesewetter,POL,REC,"Sahra Wagenknecht sagt, wir sollten uns mit Russland zusammentun und aus der NATO austreten."
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Roderich Kiesewetter,POL,RUS,Das BSW ist eine Weiterentwicklung russischer Einflussnahme.
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Corinna Milborn,JOU,OES,Viele österreische Parteien wollen das Land für Flüchtlinge dicht machen.
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Gerald Knaus,WIS,REC,Rechtspopulistische Parteien sind Russlandfreunde.
JAC,20240926,Markus Lanz vom 26. September 2024,72,33,Markus Lanz,MOD,RUS,"Wie sorgt ein Staat wie Russland zusammen mit Belarus dafür, dass Flüchtlingswege offen sind; und am Ende läuft alles auf Deutschland hinaus?"
JAC,20240905,Markus Lanz vom 5. September 2024,75,25,Markus Lanz,MOD,RUS,Ein Gefangener Russlands erzählt beklemmende Dinge aus der Haft: Wie ein ganzes Jahr Isolationshaft auf 6 Quadratmetern.
JAC,20240905,Markus Lanz vom 5. September 2024,75,25,Nikolas Blome,JOU,REC,"Rechtspopulistische Parteien sagen: ""Für die Ukraine habt ihr Millionen übrig, für uns nichts."""
JAC,20240905,Markus Lanz vom 5. September 2024,75,25,Florence Gaub,WIS,EUR,"Die Nato wir immer unglaubwürdiger, weil sie vor lauter Diskutieren keine Entscheidungen über Waffenlieferungen zustande bekommt."
JAC,20240905,Markus Lanz vom 5. September 2024,75,25,Elmar Thevessen,JOU,PUT,"Das russische Narrativ sickert ungehindert in die deutsche/europäische/amerikanische Gesellschaft hinein. Ungehindert, weil sie Sprachrohre wie die AfD hat."
JAC,20240905,Markus Lanz vom 5. September 2024,75,25,Elmar Thevessen,JOU,WES,"Es fehlen Politiker, die ein Narrativ gegen Putin setzen. "
JAC,20240905,Markus Lanz vom 5. September 2024,75,25,Gerhard Conrad,WIS,RUS,Desinformation und Manipulation sind ein Mittel mit langer Traition in Russland.
JAC,20240905,Markus Lanz vom 5. September 2024,75,25,Florence Gaub,WIS,RUS,Selbst ohne Waffenlieferungen wird der Krieg nicht vorbei sein. Das entscheidet am Ende immer noch Russland.
JAC,20240905,Markus Lanz vom 5. September 2024,75,25,Florence Gaub,WIS,RUS,Selbst ohne Waffenlieferungen wird der Krieg nicht vorbei sein. Das entscheidet am Ende immer noch Russland.
MAR,20240319,Markus Lanz vom 19. März 2024,76,65,Gregor Gysi,POL,DEU,"""Wenn wir uns nur auf Russland und die Ukraine konzentrieren, ist das zu wenig.""
Gysi betont, Deutschland müsse die geopolitische Lage als Gesamtkonstrukt sehen und sich nicht ""nur""
auf die Ukraine und Russland beziehen."
MAR,20240319,Markus Lanz vom 19. März 2024,76,65,Gregor Gysi,POL,DEU,"Die deutsche Regierung versuche nicht auf die Regierungen von China, Indien, Südafrika
und Brasilien diplomatisch zuzugehen (Länder, von denen Putin abhängig sein soll), 
um Ihnen klarzumachen, dass sie auf Putin einwirken sollen."
MAR,20240319,Markus Lanz vom 19. März 2024,76,65,Gregor Gysi,POL,BRA,"Vor allem China und Brasilien könnten Druck auf Putin ausüben, tun es aber nicht."
MAR,20240319,Markus Lanz vom 19. März 2024,76,65,Gregor Gysi,POL,CHI,"Vor allem China und Brasilien könnten Druck auf Putin ausüben, tun es aber nicht."
MAR,20240319,Markus Lanz vom 19. März 2024,76,65,Florian Neuhann,JOU,MAC,"Macron liefere gerade mal 1/27 der militärischen Hilfe, die Deutschland liefert,
stellt sich in den Medien aber so dar, dass die Ukraine viel unterstützt werden
sollte und Frankreich dafür auch viel tue. Er lässt seinen Worten nicht Taten folgen."
MAR,20240502,Markus Lanz vom 2. Mai 2024,75,27,Leonid Wolkow,NGO,PUT,"""Das ist nicht Russlands Krieg, das ist Putins Krieg."""
MAR,20240502,Markus Lanz vom 2. Mai 2024,75,27,Markus Lanz,MOD,RUS,"""Es gibt keinen freien Journalismus mehr in Russland."""
MAR,20240502,Markus Lanz vom 2. Mai 2024,75,27,Sabine Adler,JOU,RUS,"Die Bürger in Russland seien zu passiv und sprechen sich
nicht genügend gegen den Krieg aus (Soldaten im Tschetschenien-Krieg
haben dies getan; die Mütter der russischen Soldaten tun dies nicht)."
JAC,20240613,Markus Lanz vom 13. Juni 2024,75,13,Rüdiger von Fritsch,POL,RUS,Russland reibt sich die Hände über dem Ergebnis der Europawahl.
JAC,20240613,Markus Lanz vom 13. Juni 2024,75,13,Rüdiger von Fritsch,POL,RUS,In Russland wird das Narrativ des schwachen Westens gestärkt.
JAC,20240613,Markus Lanz vom 13. Juni 2024,75,13,Rüdiger von Fritsch,POL,RUS,Putin führt einen direkten Krieg gegen die Ukraine und einen Hybriden-Krieg gegen uns.
JAC,20240613,Markus Lanz vom 13. Juni 2024,75,13,Rüdiger von Fritsch,POL,RUS,"Putin wird weiter machen, was er bisher schon gemacht hat: Cyberattacen, Desinformation, der Versuch uns auseinander zu treiben."
JAC,20240613,Markus Lanz vom 13. Juni 2024,75,13,Rüdiger von Fritsch,POL,RUS,Putin sieht sich im Krieg mit uns.
JAC,20240613,Markus Lanz vom 13. Juni 2024,75,13,Saskia Esken,POL,RUS,"Putin streut gezielt Desinformation über unsere Entwicklungshilfe, nach dem Motto: 'Seht, die lassen euch im Stich, wir helfen euch.'"
JAC,20240613,Markus Lanz vom 13. Juni 2024,75,13,Saskia Esken,POL,RUS,Putin hat unsere Gasspeicher zwei Monate vor Ausbruch des Kriegs leer laufen lassen. Die Fehler müssen wir jetzt wieder korrigieren
JAC,20240613,Markus Lanz vom 13. Juni 2024,75,13,Markus Lanz,MOD,RUS,"Ist es nicht paradox, dass Putin sagt, dass die AfD nicht rechts ist und es keine Nazis sind und gleichzeitig in der Ukraine stark gegen ""Nazis"" vorgeht."
JAC,20240613,Markus Lanz vom 13. Juni 2024,75,13,Rüdiger von Fritsch,POL,RUS,"Putins Verhalten ist purer Zynismus. Es würde jeden unteterstützen. Es geht nicht um Werte, für die er steht, es gut nur im Macht und Einflussnahme in Russland und über uns."
JAC,20240613,Markus Lanz vom 13. Juni 2024,75,13,Rüdiger von Fritsch,POL,REC,"Dieses autoritär-patriarchalische Modell, für das Putin steht, war für jene Rechten hoch attraktiv."
JAC,20240613,Markus Lanz vom 13. Juni 2024,75,13,Rüdiger von Fritsch,POL,RUS,In Russland gibt es eine komplette Kontrolle der Diktatur über öffentliche Informationen  .
JAC,20240611,Markus Lanz vom 11. Juni 2024,73,30,Wolfgang Richter,WIS,EUR,"Was die Waffenlieferungen angeht fahren wir eine Strategie, ohne Exit-Strategie."
JAC,20240611,Markus Lanz vom 11. Juni 2024,73,30,Wolfgang Richter,WIS,EUR,"Europa hat von Friedensproduktion (Waffen) auf Kriegsproduktion umgestellt und auf ein mal gemerkt: 'hoppla, das schaffen wir gar nicht.'"
JAC,20240611,Markus Lanz vom 11. Juni 2024,73,30,Anton Hofreiter,POL,EUR,Olaf Scholz ist im Umgang mit dem Ukraine-Konflikt verantwortungslos.
JAC,20240611,Markus Lanz vom 11. Juni 2024,73,30,Anton Hofreiter,POL,RUS,"Die Eskalationsgefahr besteht darin, Putin nachzugeben. Sein Ziel ist es, die Ukraine einzunehmen und sich dann weitere Staaten einzuverleiben."
JAC,20240611,Markus Lanz vom 11. Juni 2024,73,30,Anton Hofreiter,POL,RUS,"Die Eskalationsgefahr besteht darin, Putin nachzugeben. Sein Ziel ist es, die Ukraine einzunehmen und sich dann weitere Staaten einzuverleiben."
JAC,20240611,Markus Lanz vom 11. Juni 2024,73,30,Anton Hofreiter,POL,PUT,"Putin eskaliert immer dann, wenn der Westen Schwäche zeigt."
JAC,20240611,Markus Lanz vom 11. Juni 2024,73,30,Anton Hofreiter,POL,EUR,"Wir habens jetzt 15 Jahre im Guten versucht, Konfilkte mit Russland zu schlichten, diese Erfahrungen sollte man nutzen."
JAC,20240611,Markus Lanz vom 11. Juni 2024,73,30,Anton Hofreiter,POL,DEU,"""Ich wünschte die Debatte über Waffenlieferungen würde 2 Wochen statt 2 Jahre dauern."""
JAC,20240611,Markus Lanz vom 11. Juni 2024,73,30,Martin Machowecz,JOU,OLA,"""Ich verstehe nicht, warum Olaf Scholz seine ""rote Linie"" 2 Wochen vor der Europawahl über Bord wirft, und das ganz ohne Erklärung."""
JAC,20240611,Markus Lanz vom 11. Juni 2024,73,30,Anton Hofreiter,POL,DEU,Detaildeabatten über Waffensysteme sind völlig sinnlos.
JAC,20240507,Markus Lanz vom 7. Mai 2024,75,27,Herfried Münkler,WIS,RUS,"Das Ziel Russland ist es, Europa aus der bekannten Westlichen Sicherheitsstruktur herauszubrechen."
JAC,20240507,Markus Lanz vom 7. Mai 2024,75,27,Herfried Münkler,WIS,RUS,Hin und wieder ist nukleares Säbelrasseln aus dem Kreml zu hören.
JAC,20240507,Markus Lanz vom 7. Mai 2024,75,27,Herfried Münkler,WIS,DEU,"Die deutschen unterlassen Handlungen, auf die die Ukraine angewiesen ist, aus Angst vor Russland und deren Atomwaffen. "
JAC,20240507,Markus Lanz vom 7. Mai 2024,75,27,Carlo Masala,WIS,RUS,"Russland sieht sich aktuell am längeren Hebel. Und wenn eine Kriegspartei denkt, sie kann gewinne, wird sie nicht aufhören."